date,MF_LargeCap_Mirae_Asset_Large_Cap_Fund___D,MF_LargeCap_UTI_Nifty_50_Index_Fund___Dire,MF_LargeCap_HDFC_Banking_and_PSU_Debt_Fund,MF_LargeCap_SBI_Banking_&_PSU_Fund___Direc,MF_LargeCap_Kotak_Corporate_Bond_Fund__Dir,MF_LargeCap_Aditya_Birla_Sun_Life_Banking_,MF_LargeCap_NIPPON_INDIA_LARGE_CAP_FUND___,MF_LargeCap_Tata_Large_Cap_Fund__Direct_Pl,MF_MidCap_Kotak_Midcap_Fund____Direct_Pl,MF_MidCap_SBI_Small_Cap_Fund___Direct_Pl,MF_MidCap_NIPPON_INDIA_BANKING_and_PSU__,MF_MidCap_Axis_Midcap_Fund___Direct_Plan,MF_MidCap_ICICI_Prudential_MidCap_Fund__,MF_MidCap_UTI_Mid_Cap_Fund___Direct_Plan,MF_MidCap_Mirae_Asset_Midcap_Fund_Direct,MF_MidCap_DSP_Midcap_Fund___Direct_Plan_,MF_MidCap_Tata_Mid_Cap_Fund___Direct_Pla,MF_SmallCap_NIPPON_INDIA_SMALL_CAP_FUND___,MF_SmallCap_Axis_Small_Cap_Fund___Direct_P,MF_SmallCap_HDFC_Small_Cap_Fund___Growth_O,MF_SmallCap_ICICI_Prudential_Smallcap_Fund,MF_SmallCap_UTI_Small_Cap_Fund___Direct_Pl,MF_SmallCap_Mirae_Asset_Banking_and_PSU_Fu,MF_SmallCap_DSP_Small_Cap_Fund___Direct_Pl,MF_SmallCap_TATA_Small_Cap_Fund_Direct_Pla,MF_FlexiCap_Parag_Parikh_Flexi_Cap_Fund___,MF_FlexiCap_Quantum_Dynamic_Term_Fund___Di,MF_FlexiCap_Franklin_India_Banking_&_PSU_D,MF_FlexiCap_Samco_Flexi_Cap_Fund___Direct_,MF_FlexiCap_PGIM_India_Flexi_Cap_Fund___Di,MF_Sectoral_NIPPON_INDIA_PHARMA_FUND___DIR,MF_Sectoral_TATA_Digital_India_Fund_Direct,MF_Balanced_ICICI_Prudential_Balanced_Adva,MF_Balanced_HDFC_Balanced_Advantage_Fund__,MF_Balanced_SBI_Balanced_Advantage_Fund___,MF_Balanced_NIPPON_INDIA_BALANCED_ADVANTAG,MF_Balanced_Kotak_Balanced_Advantage_Fund_,MF_Liquid_NIPPON_INDIA_LIQUID_FUND___DIR,MF_Liquid_HDFC_Liquid_Fund___Growth_Opti,MF_Liquid_SBI_Liquid_Fund___Direct_Paln_,MF_Liquid_UTI_Liquid_Fund___Direct_Plan_,MF_CorpBond_NIPPON_INDIA_CORPORATE_BOND_FU,MF_CorpBond_HDFC_Corporate_Bond_Fund___Gro,MF_CorpBond_SBI_Corporate_Bond_Fund___Dire,MF_CorpBond_UTI_Corporate_Bond_Fund___Dire,MF_Gilt_SBI_GILT_FUND___DIRECT_PLAN___,MF_Gilt_ICICI_Prudential_Gilt_Fund___D,MF_Gilt_HDFC_Gilt_Fund___Growth_Option,MF_Gilt_Nippon_India_Gilt_Fund___Direc,MF_Gilt_UTI_Gilt_Fund___Direct_Plan___,MF_DynamicBond_NIPPON_INDIA_DYNAMIC_BOND_FUND,MF_DynamicBond_Aditya_Birla_Sun_Life_Dynamic_,MF_DynamicBond_Kotak_Dynamic_Bond_Fund___Dire,MF_IndexFunds_HDFC_Nifty_50_Index_Fund___Dir,MF_IndexFunds_ICICI_Prudential_Nifty_50_Inde
2012-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.651,,,,,,,,,,,,,,,,
2013-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.763,,,,1528.74,22.6564,,,,12.4504,,,,,22.9789,,,,,,51.3793,
2013-01-02,18.972,19.0415,,,,103.0059,,109.3459,,,,13.77,34.47,24.85,,20.542,49.5083,,,,,,,17.689,,,,,,,47.2902,,17.4,95.483,,,,1528.74,22.6617,,,17.0959,12.4584,,,,38.9982,22.9928,,,14.615,19.4407,10.1476,51.7411,55.8574
2013-01-03,19.011,19.0937,,,,103.0306,13.5684,109.5292,,,,13.79,34.75,24.99,,20.619,49.6025,11.0142,,,12.39,,,17.688,,,,,,,47.5684,,17.45,95.847,,22.9779,,1528.74,22.667,,,17.0959,12.4678,,,23.1968,39.0894,23.0594,,,14.6509,19.4607,10.1504,51.8788,56.0004
2013-01-04,19.008,19.1141,,,,103.0619,13.6199,109.5954,,,,13.91,34.89,25.01,,20.648,49.4398,10.9823,,,12.41,,,17.722,,,,,,,47.5587,,17.46,96.543,,,,1528.74,22.6722,,,17.0959,12.4786,,,23.266,39.1861,23.1176,,,14.6904,19.4722,10.1532,51.9355,56.0601
2013-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1528.74,22.6826,,,,,,,,,,,,,,,,
2013-01-07,18.95,19.0243,,,,103.1408,13.5995,109.1619,,,,13.92,35.05,25.03,,20.687,49.5201,11.0221,,,12.38,,,17.838,,,,,,,47.6419,,17.46,96.444,,,,1528.74,22.6879,,,17.0959,12.4843,,,23.356,39.2755,23.1895,,,14.7284,19.4918,10.1608,51.6972,55.8042
2013-01-08,18.954,19.0658,,,,103.1663,13.5651,109.5596,,,,13.9,34.93,24.97,,20.72,49.5759,10.9764,,,12.41,,,17.814,,,,,,,47.5757,,17.46,96.413,,,,1528.74,22.6932,,,17.0959,12.4908,,,23.369,39.3055,23.195,,,14.7382,19.5,10.1634,51.8114,55.9265
2013-01-09,18.94,18.9693,,,,103.1897,13.5704,109.0518,,,,13.87,34.97,24.87,,20.658,49.5533,10.9664,,,12.38,,,17.77,,,,,,,47.6451,,17.46,96.43,,,,1528.74,22.6984,,,17.0959,12.4972,,,23.3922,39.3469,23.2164,,,14.752,19.5059,10.1656,51.5483,55.643
2013-01-10,18.957,18.9597,,,,103.2132,13.5282,108.986,,,,13.82,34.82,24.85,,20.577,49.6769,10.9109,,,12.39,,,17.764,,,,,,,47.2246,,17.45,96.267,,,,1528.74,22.7036,,,17.0959,12.506,,,23.4308,39.4204,23.2548,,,14.7778,19.5206,10.1691,51.5226,55.6174
2013-01-11,18.948,18.904,,,,103.2385,13.4946,108.4096,,,,13.67,34.46,24.56,,20.265,49.0367,10.7744,,,12.34,,,17.597,,,,,,,46.6696,,17.39,96.074,,,,1528.74,22.7089,,,17.0959,12.5175,,,23.4699,39.4711,23.2816,,14.9941,14.7968,19.5337,10.1709,51.3721,55.4523
2013-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1528.74,22.7193,,,,,,,,,,,,,,,,
