,nifty50_NIFTY50,nse_sectoral_NIFTYBANK,nse_sectoral_NIFTYIT,nse_sectoral_NIFTYPHARMA,nse_sectoral_NIFTYFMCG,nse_sectoral_NIFTYAUTO,nse_sectoral_NIFTYREALTY,nse_sectoral_NIFTYFINNIFTY,nse_sectoral_NIFTYMETAL,nse_sectoral_NIFTYENERGY,nse_sectoral_NIFTYINFRA,nse_sectoral_NIFTYMIDCAP100,bse_SENSEX,commodities_GOLD_INR_ETF,commodities_SILVER_INR_ETF,commodities_GOLD_USD_FUT,commodities_SILVER_USD_FUT,commodities_CRUDE_WTI,commodities_CRUDE_BRENT,commodities_USDINR,etfs_ETF_NIFTY50,etfs_ETF_NIFTYBANK,etfs_ETF_NIFTYIT,etfs_ETF_GOLD,etfs_ETF_SILVER,etfs_ETF_LIQUID,etfs_ETF_GILT,etfs_ETF_MOTILAL_NIFTY50,cpi_CPI_FRED_CPI_Index,cpi_CPI_FRED_CPI_MoM,cpi_CPI_FRED_CPI_YoY,cpi_Bond_Yield_India_10Y_Yield,repo_rate_repo_rate
nifty50_NIFTY50,0.04220629963457445,0.053034013296200375,0.028956804987619492,0.012790048203016557,0.01615075551718493,0.03015458448422,0.045867775857832166,0.03275978668109283,0.03403048855170452,0.027893082873472145,0.03104248969397358,0.04655298352254401,0.04126522618482437,-0.00318129882005106,-5.539603005108023e-05,0.005655440426807003,0.017889237375868467,0.01879486266989988,0.018569799081993528,-0.00872087727833705,0.03189889346264362,0.04453543073242887,0.0180786066680402,-0.00318129882005106,-5.539603005108023e-05,-3.925022001739154e-05,0.0015496356035801624,0.007723867694482736,0.0006036797079198662,-0.03447609623606443,0.0041057964956649606,-0.0012658929478047724,-0.002098769805414854
nse_sectoral_NIFTYBANK,0.053034013296200375,0.08515230609913696,0.02274677211825738,0.008680008740455183,0.018341237688093596,0.04038297659524594,0.06800267860964522,0.05361780668426541,0.050217088027990846,0.036944772264491575,0.04353151584670629,0.06281255163707289,0.05252352475477097,-0.006218182059796207,0.0032361759897963577,0.004663137274367695,0.019682637095163935,0.015919732434483948,0.01820072997533348,-0.012525669435201538,0.04306063319177068,0.07364852931084089,0.00625534032735179,-0.006218182059796207,0.0032361759897963577,-8.433396391328771e-05,0.0019416128222659963,0.00507277335545348,0.0005965215927643249,0.022528414157658227,0.0041330970515325366,-0.0018378089419091254,-0.0022350895669669864
nse_sectoral_NIFTYIT,0.028956804987619492,0.02274677211825738,0.06010621542571584,0.014778638422819651,0.009612452621903727,0.013622711880347672,0.020221845882352308,0.009411325731994132,0.012651257154780483,0.011404831668741101,0.011298362052561866,0.02903021243493482,0.02990462675785456,-0.0013693468953077542,0.004050178046906557,-0.00028836331049000505,0.009716945339437146,0.02234879359979794,0.021362134758514992,-0.0033914504957834064,0.021991091914957735,0.018436401461610998,0.0556531028520829,-0.0013693468953077542,0.004050178046906557,-2.5925430275138757e-05,0.0009260758372119411,0.01884439962581598,0.001092364627420202,-0.077395695959499,0.0029768344859087857,-0.0005602490033485493,-0.0013842574526224775
nse_sectoral_NIFTYPHARMA,0.012790048203016557,0.008680008740455183,0.014778638422819651,0.034806252687907414,0.009180486195195457,0.017036434812299907,0.01510424080384713,0.009031398836519775,0.01552871771926323,0.012073619453444505,0.01342683079898321,0.017670643633696498,0.012278844616575156,0.0017059267504327584,-0.008831171649197497,0.0030226055447256355,0.007719856794327521,0.005967506561280523,0.0038735497594039074,-0.0005657742171025716,0.012321495060446391,0.008478987223613507,0.017140561544267602,0.0017059267504327584,-0.008831171649197497,-2.110495343887924e-05,0.0009577596199130253,0.01202159210088823,0.0008992078508404957,-0.013927504694593753,0.002295795157121753,-0.0015312647835418465,0.003979532313577693
nse_sectoral_NIFTYFMCG,0.01615075551718493,0.018341237688093596,0.009612452621903727,0.009180486195195457,0.02311490089714315,0.020037301622168435,0.024357431481369273,0.018308551999119294,0.015032645977679792,0.014569213533298821,0.017208711632065995,0.01740255471921921,0.015910255548423832,-0.004145263028484288,-0.008313759433087774,0.00045280947774998165,0.001279847763892032,-0.0035180801109808745,-0.004590136153480249,-0.0038212367080139266,0.015775493108563778,0.018369668919527137,0.014394721264003457,-0.004145263028484288,-0.008313759433087774,-4.547664042819832e-05,0.0014103622676714782,0.006156382103234898,0.0006054978974887046,0.019471598314037754,-0.0006193293272981645,-0.0010536607392241143,-0.0003188656853059941
nse_sectoral_NIFTYAUTO,0.03015458448422,0.04038297659524594,0.013622711880347672,0.017036434812299907,0.020037301622168435,0.052481107456939714,0.05226462682514166,0.03630517298357971,0.03858017819141256,0.0325706545863548,0.03650977218789471,0.03810191916483158,0.028970732466963647,-0.00318822567482936,-0.0031335580893788145,0.003574730185890187,0.01550989300471765,0.015051350877631259,0.014397387504914073,-0.007235196056992662,0.029604346122313586,0.04019487193644979,0.009219345846251052,-0.00318822567482936,-0.0031335580893788145,1.0727308983790618e-05,0.0010742451863761018,0.007458851556157905,0.0008022212258343127,0.13416767310571215,0.007639213842701725,-0.000365681180720999,0.0012396759558661603
nse_sectoral_NIFTYREALTY,0.045867775857832166,0.06800267860964522,0.020221845882352308,0.01510424080384713,0.024357431481369273,0.05226462682514166,0.12909615014200537,0.05941807550210634,0.06597139535809321,0.051973152268249195,0.06321462485693807,0.0626255124490258,0.04447384313196379,-0.009846091503443405,-0.010010205887628819,0.003558129888263456,0.015435438387167261,0.013149455182482216,0.012306093470497893,-0.013632497941169424,0.04501004699747933,0.06798621272898933,0.021718607611104855,-0.009846091503443405,-0.010010205887628819,8.15970217989955e-05,0.0024322935596408544,0.009965695102688653,0.0006918292276796831,-0.02595121816428505,0.019789651586724855,-0.0036951347736042485,0.00020565506024808542
nse_sectoral_NIFTYFINNIFTY,0.03275978668109283,0.05361780668426541,0.009411325731994132,0.009031398836519775,0.018308551999119294,0.03630517298357971,0.05941807550210634,0.049125099117014535,0.043286079995388006,0.03263703673509531,0.0386673000732143,0.03792395463082726,0.03204042167130094,-0.004182863587079671,0.001839655173619734,0.0022576419717882383,0.010281200219014207,0.0017199863974413964,0.0070466855854591955,-0.008595426992831287,0.0320269611535696,0.052876516651640004,0.009349402029379401,-0.004182863587079671,0.001839655173619734,-5.790281710600321e-06,0.0020077314567870943,0.005275013996957172,0.000991072285182681,0.05203197494873862,0.013300161223256928,-0.0019591236487762446,0.0016414180506467706
nse_sectoral_NIFTYMETAL,0.03403048855170452,0.050217088027990846,0.012651257154780483,0.01552871771926323,0.015032645977679792,0.03858017819141256,0.06597139535809321,0.043286079995388006,0.08993427051509614,0.04363923801448542,0.04557459620779635,0.04563338509309867,0.03217419670274637,0.000373403739174573,0.03671877264541404,0.007601750574168007,0.032421512260251556,0.03182560041750093,0.033123708873053714,-0.00778482328288474,0.033637009499723675,0.04954980722055083,0.013338704548410608,0.000373403739174573,0.03671877264541404,-4.6792309355576605e-05,0.0015614599229736748,0.018710965607645146,0.0001825300501308671,-0.1897838836133421,0.017768267051728643,0.0002159233696519273,-9.084524284023592e-05
nse_sectoral_NIFTYENERGY,0.027893082873472145,0.036944772264491575,0.011404831668741101,0.012073619453444505,0.014569213533298821,0.0325706545863548,0.051973152268249195,0.03263703673509531,0.04363923801448542,0.0467637059657859,0.036782906726144066,0.03302355334531161,0.026847681653878172,-0.004465989274887715,0.0026569719367208625,0.0014178440001405336,0.009357602169101151,0.01744316421600825,0.01694597776584142,-0.0064901347118290174,0.027241719287779027,0.03670694777206218,0.009963200696115245,-0.004465989274887715,0.0026569719367208625,1.7104676614984185e-05,0.001027012697825195,0.007352554722624442,0.0009104350710413356,-0.02293189616824186,0.021744792112434252,-0.00048120604488678073,0.0026100507502581456
